fileid,filename
9e86a646-c886-4248-b710-04ecd24ba6ee,RAD_BEDOUR_20240622_0020_BEHUMA_SYS002
c96a516c-2c8b-4ee3-b561-fb06f1960305,RAD_BEDOUR_20240622_0025_BEHUMA_SYS002
2877834b-20dc-459f-b596-9810011d6f3c,RAD_BEDOUR_20240622_0030_BEHUMA_SYS002
da238d28-f2b8-4dd8-bf14-9aae48653622,RAD_BEDOUR_20240622_0035_BEHUMA_SYS002
10f06895-89ab-4a95-98ab-a42802bd90d1,RAD_BEDOUR_20240622_0040_BEHUMA_SYS002
dd2ae5af-6122-487d-a1bd-3fe257c935e1,RAD_BEDOUR_20240622_0045_BEHUMA_SYS002
2730a8b1-2d3f-4471-a904-c7c0e270a8a0,RAD_BEDOUR_20240622_0050_BEHUMA_SYS002
b7908811-bb68-4b76-86fb-06449b21b103,RAD_BEDOUR_20240622_0055_BEHUMA_SYS002
0daa1cd7-8657-41d5-8602-2d558212b4ee,RAD_BEDOUR_20240622_0100_BEHUMA_SYS002
4ebf4eee-8f4b-4526-a584-b7b0010959ce,RAD_BEDOUR_20240622_0000_BEHUMA_SYS003
5e9739a5-d947-4915-8fe8-4d6174233a4c,RAD_BEDOUR_20240622_0005_BEHUMA_SYS003
713f4440-90c9-4f84-a48a-35722d60c531,RAD_BEDOUR_20240622_0010_BEHUMA_SYS003
176d585a-8757-44bf-8672-47c861145f91,RAD_BEDOUR_20240622_0015_BEHUMA_SYS003
e60fa97c-0fab-4c17-8165-acdd60c3826e,RAD_BEDOUR_20240622_0020_BEHUMA_SYS003
cf4ed5f4-e763-4502-b22b-f3d3736d6a2a,RAD_BEDOUR_20240622_0025_BEHUMA_SYS003
540d0c7b-fe39-474b-8892-b8d8de6cc5e6,RAD_BEDOUR_20240622_0030_BEHUMA_SYS003
8adbb7ab-9d27-40d6-a8b6-17c735336ec9,RAD_BEDOUR_20240622_0035_BEHUMA_SYS003
1ed50d33-c628-4e96-afe3-d687560b1431,RAD_BEDOUR_20240622_0040_BEHUMA_SYS003
d32bddbd-d710-4737-bd87-d3dd1ea3cb47,RAD_BEDOUR_20240622_0045_BEHUMA_SYS003
2edbf19e-02f1-45d0-8267-79c5f7ad3445,RAD_BEDOUR_20240622_0050_BEHUMA_SYS003
7218828d-1fde-468e-80b3-82b12b8b920c,RAD_BEDOUR_20240622_0055_BEHUMA_SYS003
e23bf89c-5606-47a8-8497-9e4f9637df3e,RAD_BEDOUR_20240622_0100_BEHUMA_SYS003
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
