               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  39,            0.057658,            0.065754,                   0,             0.69906,             0.73863,             0.71927,             0.20748,             0.05529,            0.062902,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.057483,            0.061408,                   0,             0.72604,             0.73272,             0.72894,             0.21318,            0.053178,            0.061859,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.059416,             0.06305,                   0,             0.69516,             0.73563,             0.72046,             0.20057,            0.055322,            0.063159,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.056239,            0.064799,                   0,              0.7015,             0.69954,             0.70172,             0.20452,            0.054639,            0.063347,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.055916,              0.0634,                   0,              0.7053,             0.75216,             0.72511,             0.21075,            0.053486,            0.062928,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.057885,             0.06308,                   0,             0.71627,             0.76129,             0.72015,              0.2114,            0.056389,            0.062665,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.055907,            0.063898,                   0,              0.7041,             0.75223,             0.71089,             0.20565,            0.055497,            0.062004,                   0,            0.005644,            0.005644,            0.005644
                  46,            0.056964,            0.065659,                   0,             0.72721,             0.74839,             0.74052,             0.21229,            0.055283,            0.062415,                   0,            0.005545,            0.005545,            0.005545
                  47,            0.055949,            0.062506,                   0,             0.70417,             0.73495,               0.723,             0.20651,            0.053343,            0.062315,                   0,            0.005446,            0.005446,            0.005446
                  48,            0.056876,            0.064263,                   0,             0.70474,              0.7659,             0.73385,             0.21197,            0.053852,            0.063255,                   0,            0.005347,            0.005347,            0.005347
                  49,            0.057013,            0.063585,                   0,             0.67778,              0.7318,             0.69334,             0.19146,               0.056,            0.063704,                   0,            0.005248,            0.005248,            0.005248
                  50,            0.056884,             0.06366,                   0,             0.70536,             0.77696,              0.7551,              0.2173,            0.053677,            0.062569,                   0,            0.005149,            0.005149,            0.005149
                  51,            0.055362,            0.064197,                   0,             0.73062,             0.75207,             0.74789,             0.21717,            0.052755,            0.062392,                   0,             0.00505,             0.00505,             0.00505
                  52,            0.054897,            0.063609,                   0,             0.71191,             0.76866,             0.72377,             0.21474,            0.053409,            0.062331,                   0,            0.004951,            0.004951,            0.004951
                  53,            0.054067,             0.06457,                   0,              0.7187,              0.7606,             0.73865,             0.20485,            0.053855,            0.063726,                   0,            0.004852,            0.004852,            0.004852
                  54,            0.053648,             0.06319,                   0,             0.72957,             0.74841,             0.72851,             0.21168,             0.05131,            0.062577,                   0,            0.004753,            0.004753,            0.004753
                  55,            0.055044,            0.063533,                   0,             0.69519,             0.73548,             0.70405,             0.20407,            0.052106,            0.063125,                   0,            0.004654,            0.004654,            0.004654
                  56,            0.055886,            0.064434,                   0,              0.6805,             0.73456,             0.71216,             0.20229,            0.054881,            0.062976,                   0,            0.004555,            0.004555,            0.004555
                  57,            0.055679,            0.063939,                   0,             0.72529,             0.76896,             0.74511,             0.21832,            0.054171,            0.061761,                   0,            0.004456,            0.004456,            0.004456
                  58,            0.053424,            0.063281,                   0,             0.72087,             0.77327,             0.72936,             0.21275,              0.0547,            0.062067,                   0,            0.004357,            0.004357,            0.004357
                  59,            0.055222,            0.061418,                   0,             0.67628,             0.72205,             0.68382,             0.18951,            0.055809,            0.064151,                   0,            0.004258,            0.004258,            0.004258
                  60,            0.054499,            0.063717,                   0,             0.69869,             0.76511,             0.72775,             0.20817,            0.053892,            0.061965,                   0,            0.004159,            0.004159,            0.004159
                  61,             0.05598,            0.065952,                   0,             0.70372,             0.71152,             0.68667,              0.1998,            0.054418,            0.062684,                   0,             0.00406,             0.00406,             0.00406
                  62,            0.053978,            0.064354,                   0,             0.70039,              0.7447,             0.71926,             0.20696,            0.056175,            0.063566,                   0,            0.003961,            0.003961,            0.003961
                  63,            0.054563,            0.062232,                   0,             0.67782,             0.74071,             0.69185,             0.19505,            0.055366,            0.065026,                   0,            0.003862,            0.003862,            0.003862
                  64,            0.053581,            0.062577,                   0,             0.70613,             0.76037,             0.73355,             0.21339,            0.053437,            0.062102,                   0,            0.003763,            0.003763,            0.003763
                  65,            0.054513,            0.062336,                   0,             0.73101,             0.76396,             0.74596,             0.21874,            0.053841,            0.062392,                   0,            0.003664,            0.003664,            0.003664
                  66,            0.053812,            0.062978,                   0,             0.68472,             0.73059,              0.7118,             0.20372,            0.055485,            0.063842,                   0,            0.003565,            0.003565,            0.003565
                  67,            0.053798,            0.060748,                   0,             0.70567,             0.73641,             0.71642,             0.20711,            0.054959,            0.063044,                   0,            0.003466,            0.003466,            0.003466
                  68,            0.053781,            0.064493,                   0,             0.71646,             0.71613,             0.71697,             0.20691,            0.056182,            0.062874,                   0,            0.003367,            0.003367,            0.003367
                  69,            0.052748,            0.062174,                   0,              0.7046,             0.74194,             0.73227,             0.21137,            0.055898,            0.062628,                   0,            0.003268,            0.003268,            0.003268
                  70,            0.054087,            0.062356,                   0,              0.7233,             0.74204,             0.72794,             0.21459,             0.05583,            0.062469,                   0,            0.003169,            0.003169,            0.003169
                  71,            0.053531,            0.059838,                   0,             0.72693,             0.75815,             0.74206,             0.21274,            0.056915,            0.062172,                   0,             0.00307,             0.00307,             0.00307
                  72,            0.053414,             0.06161,                   0,             0.71509,              0.7659,             0.72318,             0.20827,            0.055859,            0.062477,                   0,            0.002971,            0.002971,            0.002971
                  73,            0.052522,            0.064344,                   0,             0.69073,             0.74747,             0.70457,             0.20264,            0.054475,            0.062454,                   0,            0.002872,            0.002872,            0.002872
                  74,            0.054823,            0.061834,                   0,             0.69109,             0.74378,             0.71666,             0.20652,            0.054159,            0.062725,                   0,            0.002773,            0.002773,            0.002773
                  75,             0.05231,            0.064531,                   0,             0.70419,             0.75392,             0.71046,              0.2048,            0.054753,            0.063046,                   0,            0.002674,            0.002674,            0.002674
                  76,            0.055011,            0.063599,                   0,             0.70517,             0.75207,             0.70863,             0.20354,            0.054885,            0.063354,                   0,            0.002575,            0.002575,            0.002575
                  77,             0.05154,            0.066687,                   0,             0.68828,             0.75907,              0.6997,             0.20096,             0.05181,            0.063206,                   0,            0.002476,            0.002476,            0.002476
                  78,            0.053271,            0.061579,                   0,             0.71214,             0.74331,             0.71287,             0.20682,            0.053108,            0.063383,                   0,            0.002377,            0.002377,            0.002377
                  79,            0.055736,            0.062334,                   0,             0.69046,             0.75861,             0.70524,             0.20091,             0.05403,            0.063495,                   0,            0.002278,            0.002278,            0.002278
                  80,            0.052392,            0.063753,                   0,             0.70645,             0.74562,             0.70283,             0.20191,            0.054439,              0.0621,                   0,            0.002179,            0.002179,            0.002179
                  81,            0.051941,            0.063134,                   0,             0.69477,             0.76129,             0.70433,             0.20484,            0.054121,            0.062812,                   0,             0.00208,             0.00208,             0.00208
                  82,            0.051488,             0.06404,                   0,             0.69369,             0.77855,              0.7312,             0.21244,            0.055598,            0.062872,                   0,            0.001981,            0.001981,            0.001981
                  83,            0.052141,            0.061969,                   0,             0.70956,             0.76108,             0.73363,             0.21552,            0.054348,            0.061982,                   0,            0.001882,            0.001882,            0.001882
                  84,            0.054586,             0.06188,                   0,             0.69852,             0.74954,             0.73288,             0.20774,            0.056078,            0.063127,                   0,            0.001783,            0.001783,            0.001783
                  85,            0.050929,            0.062047,                   0,             0.70985,             0.74654,             0.71456,             0.20449,             0.05617,            0.062796,                   0,            0.001684,            0.001684,            0.001684
                  86,            0.052099,            0.060882,                   0,             0.72136,             0.75637,             0.72473,              0.2128,            0.056832,            0.062123,                   0,            0.001585,            0.001585,            0.001585
                  87,            0.051319,            0.063276,                   0,              0.7273,             0.75945,             0.73783,             0.21588,            0.056022,            0.062108,                   0,            0.001486,            0.001486,            0.001486
                  88,            0.054035,            0.062094,                   0,             0.73212,             0.77143,             0.74291,             0.21179,            0.055695,            0.062685,                   0,            0.001387,            0.001387,            0.001387
                  89,            0.050732,            0.061579,                   0,              0.7122,             0.77327,             0.72182,             0.20761,            0.056543,            0.062704,                   0,            0.001288,            0.001288,            0.001288
