               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,             0.05122,            0.038039,                   0,             0.53625,               0.749,             0.62865,             0.27372,            0.041291,            0.022206,                   0,           0.0081685,           0.0081685,           0.0081685
                  39,            0.051899,            0.037016,                   0,             0.44843,             0.61902,             0.50183,             0.21995,            0.039808,            0.026188,                   0,            0.008119,            0.008119,            0.008119
                  40,            0.046542,            0.038825,                   0,             0.52048,             0.66608,             0.58895,             0.27182,            0.039005,             0.02415,                   0,           0.0080695,           0.0080695,           0.0080695
                  41,            0.048663,            0.033956,                   0,             0.46848,             0.69318,             0.52782,             0.18883,             0.04642,            0.024305,                   0,             0.00802,             0.00802,             0.00802
                  42,            0.050031,            0.038639,                   0,             0.46322,             0.55682,             0.51876,              0.2023,            0.041426,            0.024917,                   0,           0.0079705,           0.0079705,           0.0079705
                  43,            0.048588,             0.04076,                   0,             0.40305,             0.61364,             0.43931,             0.20433,            0.040712,            0.025095,                   0,            0.007921,            0.007921,            0.007921
                  44,            0.049382,            0.033584,                   0,             0.47925,             0.69025,             0.53578,             0.17754,            0.048482,            0.023836,                   0,           0.0078715,           0.0078715,           0.0078715
                  45,            0.052701,            0.035433,                   0,              0.5168,             0.61364,             0.51783,             0.19225,            0.043126,            0.022535,                   0,            0.007822,            0.007822,            0.007822
                  46,            0.048794,            0.039251,                   0,             0.58662,             0.67045,             0.56878,             0.21883,            0.043402,            0.022953,                   0,           0.0077725,           0.0077725,           0.0077725
                  47,            0.049421,            0.038428,                   0,             0.48293,             0.74295,             0.51135,             0.24187,             0.03901,            0.023442,                   0,            0.007723,            0.007723,            0.007723
                  48,            0.049913,            0.036537,                   0,             0.60866,             0.72467,             0.62234,             0.24893,            0.043852,            0.022821,                   0,           0.0076735,           0.0076735,           0.0076735
                  49,            0.051763,            0.035995,                   0,             0.47467,             0.65909,             0.49281,             0.20051,            0.046231,            0.022817,                   0,            0.007624,            0.007624,            0.007624
                  50,            0.047777,            0.037681,                   0,             0.64152,             0.71591,             0.66782,             0.31662,            0.040592,            0.021843,                   0,           0.0075745,           0.0075745,           0.0075745
                  51,            0.047297,            0.033187,                   0,             0.63911,             0.72727,             0.66105,             0.31149,            0.040583,            0.021313,                   0,            0.007525,            0.007525,            0.007525
                  52,            0.045997,            0.034069,                   0,             0.65518,             0.64773,             0.63342,             0.32369,            0.039297,            0.021203,                   0,           0.0074755,           0.0074755,           0.0074755
                  53,             0.04745,            0.032823,                   0,             0.71562,              0.7721,             0.75155,             0.32458,            0.042592,            0.021241,                   0,            0.007426,            0.007426,            0.007426
                  54,            0.044965,            0.035466,                   0,             0.63606,             0.71591,              0.6687,              0.2929,            0.041733,            0.020818,                   0,           0.0073765,           0.0073765,           0.0073765
                  55,            0.045803,            0.040105,                   0,             0.62798,             0.76136,              0.6581,             0.30705,             0.04001,            0.021341,                   0,            0.007327,            0.007327,            0.007327
                  56,            0.045474,            0.032868,                   0,             0.64825,             0.78409,             0.68915,             0.32263,            0.040813,            0.020679,                   0,           0.0072775,           0.0072775,           0.0072775
                  57,            0.045763,            0.036558,                   0,             0.62664,             0.76136,             0.72756,              0.2991,            0.041339,            0.021351,                   0,            0.007228,            0.007228,            0.007228
                  58,            0.045751,            0.034923,                   0,             0.74439,             0.61364,             0.69641,             0.32896,            0.040631,              0.0216,                   0,           0.0071785,           0.0071785,           0.0071785
                  59,            0.045017,            0.034827,                   0,             0.65708,             0.70455,             0.67236,             0.31329,            0.039444,            0.022147,                   0,            0.007129,            0.007129,            0.007129
                  60,             0.04383,            0.036215,                   0,             0.57222,             0.67045,             0.63255,             0.28937,            0.041035,            0.023089,                   0,           0.0070795,           0.0070795,           0.0070795
                  61,            0.045678,            0.036965,                   0,             0.56009,             0.63636,               0.609,             0.20954,            0.044286,            0.023083,                   0,             0.00703,             0.00703,             0.00703
                  62,            0.043037,            0.033428,                   0,             0.60872,               0.625,             0.63932,             0.24875,            0.042759,            0.022388,                   0,           0.0069805,           0.0069805,           0.0069805
                  63,            0.044399,            0.036493,                   0,             0.57706,             0.59091,             0.61433,               0.245,            0.039915,            0.022829,                   0,            0.006931,            0.006931,            0.006931
